year,ac_number,constituency,region,reserved,winner_candidate,winner_party,winner_party_raw,winner_votes,runner_up_candidate,runner_up_party,runner_up_votes,margin,margin_pct,winner_vote_share_pct,total_valid_votes
2021,50,Tiruppattur,North,GEN,A. NALLATHAMBI,DMK,DMK,96522,T.K. RAJA,PMK,68282,28240,15.188511805518207,51.91308556983812,185930
2021,51,Uthangarai,North,SC,T.M.TAMILSELVAM,AIADMK,AIADMK,99675,S.Arumugam,INC,71288,28387,15.081578765613129,52.95580242584593,188223
2021,52,Bargur,North,GEN,MATHIAZHAGAN D,DMK,DMK,97256,KRISHNAN A,AIADMK,84642,12614,6.377664522913886,49.17283501193221,197784
2021,53,Krishnagiri,North,GEN,Ashokkumar.K,AIADMK,AIADMK,96050,SENGUTTUVAN.T,DMK,95256,794,0.3751511944360447,45.38195494405806,211648
2021,54,Veppanahalli,North,GEN,K.P.Munusamy,AIADMK,AIADMK,94104,P.Murugan,DMK,91050,3054,1.4887321403327467,45.87283868168723,205141
2021,55,Hosur,North,GEN,PRAKAASH Y,DMK,DMK,118231,JYOTHI S,AIADMK,105864,12367,4.98472377850688,47.654958927520575,248098
2021,56,Thalli,North,GEN,RAMACHANDRAN.T,CPI,CPI,120641,Dr.NAGESH KUMAR.C,BJP,64415,56226,28.97918792714228,62.17903124387956,194022
2021,57,Palacode,North,GEN,ANBALAGAN.K.P.,AIADMK,AIADMK,110070,MURUGAN.P.K.,DMK,81970,28100,13.601490839565333,53.27815290786321,206595
2021,58,Pennagaram,North,GEN,MANI. G.K,PMK,PMK,106123,INBASEKARAN. P.N.P,DMK,84937,21186,10.073940229666437,50.46147262309503,210305
2021,59,Dharmapuri,North,GEN,VENKATESHWARAN.S.P.,PMK,PMK,105630,SUBRAMANI.P,DMK,78770,26860,12.358914660912056,48.602835280422205,217333
2021,60,Pappireddippatti,North,GEN,GOVINDASAMY.A,AIADMK,AIADMK,114507,PRABHURAJASEKAR.M,DMK,77564,36943,16.7167434409984,51.81452890123713,220994
2021,61,Harur,North,SC,SAMPATHKUMAR.V,AIADMK,AIADMK,99061,KUMAR.A,CPI(M),68699,30362,15.29071085035127,49.888449626067036,198565
2021,62,Chengam,North,SC,GIRI.M.P,DMK,DMK,108081,NAINAKANNU.M.S,AIADMK,96511,11570,5.166331770484483,48.26121902210315,223950
2021,63,Tiruvannamalai,North,GEN,E V VELU,DMK,DMK,137876,S THANIGAIVEL,BJP,43203,94673,45.33365894769101,66.0211840870348,208836
2021,64,Kilpennathur,North,GEN,K.Pitchandi,DMK,DMK,104675,K.Selvakumar,PMK,77888,26787,13.13822430181572,51.339964489960074,203886
2021,65,Kalasapakkam,North,GEN,Saravanan.P.S.T,DMK,DMK,94134,Panneerselvam.V,AIADMK,84912,9222,4.694706619017074,47.92143926204221,196434
2021,66,Polur,North,GEN,Agri KRISHNAMURTHY. S S,AIADMK,AIADMK,97732,SEKARAN. K.V,DMK,88007,9725,4.814070451260321,48.379304199750514,202012
2021,67,Arani,North,GEN,S.RAMACHANDRAN,AIADMK,AIADMK,102961,S.S.ANBALAGAN,DMK,99833,3128,1.4126870861973968,46.49989612594955,221422
2021,68,Cheyyar,North,GEN,JOTHI. O,DMK,DMK,102460,DUSI. K. MOHAN,AIADMK,90189,12271,5.721812925487271,47.77580900867295,214460
2021,69,Vandavasi,North,SC,Ambethkumar S,DMK,DMK,102064,Murali S,PMK,66111,35953,19.33227225311065,54.88078978781981,185974
2021,70,Gingee,Central,GEN,MASTHAN K S,DMK,DMK,109625,RAJENDIRAN P,PMK,73822,35803,17.306167826759474,52.989655839133796,206880
2021,71,Mailam,Central,GEN,SIVAKUMAR C,PMK,PMK,81044,Dr. MASILAMANI R,DMK,78814,2230,1.2599653085784992,45.7904163535587,176989
2021,72,Tindivanam,Central,SC,ARJUNAN P,AIADMK,AIADMK,87152,SEETHAPATHY P,DMK,77399,9753,5.3429970745817315,47.74457921090403,182538
2021,73,Vanur,Central,SC,CHAKRAPANI M,AIADMK,AIADMK,92219,VANNI ARASU,VCK,70492,21727,11.924284334387075,50.611938004917455,182208
2021,74,Villupuram,Central,GEN,LAKSHMANAN R,DMK,DMK,102271,SHANMUGAM C Ve,AIADMK,87403,14868,7.257639363467734,49.92238601972078,204860
2021,75,Vikravandi,Central,GEN,PUGAZHENTHI N,DMK,DMK,93730,MUTHAMILSELVAN R,AIADMK,84157,9573,4.944297246626071,48.4100053197808,193617
2021,76,Tirukkoyilur,Central,GEN,K.PONMUDY,DMK,DMK,110980,VAT.KALIVARADHAN,BJP,51300,59680,30.415305503600603,56.55982916872646,196217
2021,77,Ulundurpet,Central,GEN,MANIKANNAN A J,DMK,DMK,115451,KUMARAGURU R,AIADMK,110195,5256,2.1465940788963174,47.15114783155608,244853
2021,78,Rishivandiam,Central,GEN,KARTHIKEYAN K,DMK,DMK,113912,SANTHOSH S A,AIADMK,72184,41728,19.398808029529626,52.95621693490651,215106
2021,79,Sankarapuram,Central,GEN,UDHAYASURIYAN T,DMK,DMK,121186,Dr.RAJA G,PMK,75223,45963,21.298690466260737,56.1561060601848,215802
2021,80,Kallakurichi,Central,SC,Senthilkumar.M,AIADMK,AIADMK,110643,Manirathinem.K.I,INC,84752,25891,11.463397355860762,48.98785962861621,225858
2021,81,Gangavalli,Central,SC,"NALLATHAMBI,A.",AIADMK,AIADMK,89568,"REKHA PRIYADHARSHINI,J.",DMK,82207,7361,3.9468534018219543,48.0249647458754,186503
2021,82,Attur,Central,SC,"JAYASANKARAN, A.P.",AIADMK,AIADMK,95308,"CHINNADURAI, K.",DMK,87051,8257,4.133811948353634,47.71531417871965,199743
2021,83,Yercaud,Central,ST,G. Chitra,AIADMK,AIADMK,121561,C. TAMILSELVAN,DMK,95606,25955,10.863287070365473,50.878522040481485,238924
2021,84,Omalur,Central,GEN,R.MANI,AIADMK,AIADMK,142488,RANGARAJAN MOHAN KUMARAMANGALAM,INC,87194,55294,22.204018038204694,57.217892035803345,249027
2021,85,Mettur,Central,GEN,SADHASIVAM.S,PMK,PMK,97055,SRINIVASAPERUMAL.S,DMK,96399,656,0.3003085487223153,44.43055822598218,218442
2021,86,Edapadi,Central,GEN,EDAPPADI PALANISWAMI. K,AIADMK,AIADMK,163154,SAMBATHKUMAR. T,DMK,69352,93802,37.93029546989297,65.97385372481308,247301
2021,87,Sankari,Central,GEN,"SUNDARARAJAN, S.",AIADMK,AIADMK,115472,"RAJESH, K.M.",DMK,95427,20045,8.630897277467524,49.71947969187976,232247
2021,88,Salem (West),Central,GEN,ARUL. R,PMK,PMK,105483,RAJENDRAN. A,DMK,83984,21499,9.924386505899514,48.6931513931717,216628
2021,89,Salem (North),Central,GEN,R. RAJENDRAN,DMK,DMK,93432,G.VENKATACHALAM,AIADMK,85844,7588,3.7494564572874256,46.16752974661027,202376
2021,90,Salem (South),Central,GEN,E.BALASUBRAMANIAN,AIADMK,AIADMK,97506,A.S.SARAVANAN,DMK,74897,22609,11.305517496574693,48.757388164934845,199982
2021,91,Veerapandi,Central,GEN,"RAJAMUTHU, M.",AIADMK,AIADMK,111682,"THARUN, A.K.",DMK,91787,19895,8.893527997067526,49.92445306702667,223702
2021,92,Rasipuram,Central,SC,MATHIVENTHAN M,DMK,DMK,90727,SAROJA V. Dr,AIADMK,88775,1952,0.9913460366473001,46.07676837443627,196904
2021,93,Sendamangalam,Central,ST,PONNUSAMY K,DMK,DMK,90681,CHANDRAN S,AIADMK,80188,10493,5.266644916806786,45.51459331944688,199235
2021,94,Namakkal,Central,GEN,RAMALINGAM P,DMK,DMK,106494,BASKAR K.P.P.,AIADMK,78633,27861,13.475108701435005,51.50634313379345,206759
2021,95,Paramathi-Velur,Central,GEN,SEKAR S,AIADMK,AIADMK,86034,MOORTHIY K S,DMK,78372,7662,4.170998982019303,46.83473328361378,183697
2021,96,Tiruchengode,Central,GEN,ESWARAN E R,DMK,DMK,81688,SARASWATHI PON,AIADMK,78826,2862,1.5497999122754766,44.234820137651695,184669
2021,97,Kumarapalayam,Central,GEN,THANGAMANI.P,AIADMK,AIADMK,100800,M.VENKATACHALAM,DMK,69154,31646,15.672155503280921,49.91952457595642,201925
2021,98,Erode (East),Kongu,GEN,"THIRUMAHAN EVERAA,E.",INC,INC,67300,"YUVARAJA,M.",AIADMK,58396,8904,5.856469148957162,44.265540624979444,152037
2021,99,Erode (West),Kongu,GEN,Muthusamy S,DMK,DMK,100757,Ramalingam K V,AIADMK,78668,22089,10.744774514906679,49.01132897815438,205579
2021,100,Modakurichi,Kongu,GEN,SARASWATHI.C,BJP,BJP,78125,SUBBULAKSHMI JEGADEESAN,DMK,77844,281,0.154517010618233,42.95957813006923,181857
2021,101,Dharapuram,Kongu,SC,KAYALVIZHI N,DMK,DMK,89986,MURUGAN L,BJP,88593,1393,0.7180745498502508,46.38668804222876,193991
2021,102,Kangayam,Kongu,GEN,SAMINATHAN.M.P,DMK,DMK,94197,RAMALINGAM.A.S,AIADMK,86866,7331,3.6688386431652806,47.14139867279224,199818
2021,103,Perundurai,Kongu,GEN,"JAYAKUMAR, S.",AIADMK,AIADMK,85125,KKC BALU,DMK,70618,14507,7.641577514051084,44.83968331726743,189843
2021,104,Bhavani,Kongu,GEN,KARUPPANAN.K.C,AIADMK,AIADMK,100915,DURAIRAJ.K.P,DMK,78392,22523,11.184050450629393,50.11048489212205,201385
2021,105,Anthiyur,Kongu,GEN,VENKATACHALAM.A.G,DMK,DMK,79096,SHANMUGAVEL.K.S,AIADMK,77821,1275,0.7228505825325282,44.84281543215126,176385
2021,106,Gobichettipalayam,Kongu,GEN,SENGOTTAIYAN K.A,AIADMK,AIADMK,108608,MANIMARAN G.V,DMK,80045,28563,13.32969325325157,50.68484839999813,214281
2021,107,Bhavanisagar,Kongu,SC,A.Bannari,AIADMK,AIADMK,99181,P.L SUNDARAM,CPI,83173,16008,7.981372808089067,49.45030837575474,200567
2021,108,Udhagamandalam,Kongu,GEN,"GANESH, R.",INC,INC,65530,"BHOJARAJAN, M.",BJP,60182,5348,3.7901659792207054,46.441581267451916,141102
2021,109,Gudalur,Kongu,SC,PON.JAYASEELAN,AIADMK,AIADMK,64496,"KASILINGAM, S.",DMK,62551,1945,1.4068003790043182,46.64935590964653,138257
2021,110,Coonoor,Kongu,GEN,"Ramachandran, K.",DMK,DMK,61820,"Vinoth, D.",AIADMK,57715,4105,3.0204255820113604,45.486652735674134,135908
2021,111,Mettupalayam,Kongu,GEN,SELVARAJ A K,AIADMK,AIADMK,105231,SHANMUGASUNDARAM T R,DMK,102775,2456,1.0911530413225343,46.752087007903754,225083
2021,112,Avanashi,Kongu,SC,"DHANAPAL, P",AIADMK,AIADMK,117284,ATHIYAMAAN RAJU,DMK,66382,50902,23.939574936390954,55.15950467250161,212627
2021,113,Tiruppur (North),Kongu,GEN,VIJEYAKUMAR.K.N,AIADMK,AIADMK,113384,RAVI (Alias) SUBRAMANIAN . M,CPI,73282,40102,16.843069065739293,47.62192765821615,238092
2021,114,Tiruppur (South),Kongu,GEN,SELVARAJ. K.,DMK,DMK,75535,GUNASEKARAN. S.,AIADMK,70826,4709,2.699836026098224,43.306883463862675,174418
2021,115,Palladam,Kongu,GEN,ANANDAN M S M,AIADMK,AIADMK,126903,MUTHURATHINAM K,DMK,94212,32691,12.500812585321459,48.52683061133184,261511
2021,116,Sulur,Kongu,GEN,KANDASAMY V.P.,AIADMK,AIADMK,118968,PREMIER SELVAM (a)KALICHAMY M,DMK,87036,31932,13.213988653151421,49.23092202455587,241653
2021,117,Kavundampalayam,Kongu,GEN,G.Arunkumar,AIADMK,AIADMK,135669,R.Krishnan,DMK,125893,9776,3.154382772217167,43.77577294639227,309918
