year,ac_number,constituency,region,reserved,winner_candidate,winner_party,winner_party_raw,winner_votes,runner_up_candidate,runner_up_party,runner_up_votes,margin,margin_pct,winner_vote_share_pct,total_valid_votes
2026,29,Sriperumbudur,Chennai Metro,SC,THENNARASU.K,TVK,TVK,147611,K. SELVAPERUNTHAGAI,INC,93365,54246,16.384163726864156,44.583615232204124,331088
2026,30,Pallavaram,Chennai Metro,GEN,J.KAMATCHI,TVK,TVK,133611,D.MURUGESAN,DMDK,78918,54693,19.280026227011707,47.099694370710345,283677
2026,31,Tambaram,Chennai Metro,GEN,D.SARATHKUMAR,TVK,TVK,118967,R.S.KIRUTHIKA DEVI,DMK,83346,35621,12.776129895376403,42.66971295761615,278809
2026,32,Chengalpattu,Chennai Metro,GEN,S. THIYAGARAJAN,TVK,TVK,137136,KARTHIKDHANDAPANI,DMK,101495,35641,10.99996913675504,42.32461961050585,324010
2026,33,Thiruporur,North,GEN,B.VIJAYARAJ,TVK,TVK,110095,R. PANNEERDOSS,VCK,70744,39351,14.996055775525994,41.9554969532295,262409
2026,34,Cheyyur,North,SC,RAJASEKAR. E,AIADMK,AIADMK,63809,MOHAN RAJA.M.G.K,TVK,58141,5668,3.021579665643125,34.0162273967929,187584
2026,35,Madurantakam,North,SC,MARAGATHAM KUMARAVEL.K,AIADMK,AIADMK,69284,EZHIL KATHARINE EZHILMALAI,TVK,62090,7194,3.62873327246773,34.94761690987687,198251
2026,36,Uthiramerur,North,GEN,MUNIRATHINAM.J,TVK,TVK,84917,SUNDAR.K,DMK,70694,14223,6.244594208943428,37.28272561631506,227765
2026,37,Kancheepuram,North,GEN,R.V. RANJITHKUMAR,TVK,TVK,91350,V. SOMASUNDARAM,AIADMK,75862,15488,6.287832346123086,37.0863561995315,246317
2026,38,Arakkonam,North,SC,V. GANDHIRAJ,TVK,TVK,73776,EZHIL CAROLINE,VCK,50655,23121,12.68015794669299,40.46067785455742,182340
2026,39,Sholingur,North,GEN,G.KAPIL,TVK,TVK,84506,K.SARAVANAN,PMK,78820,5686,2.433200390270622,36.16251005631537,233684
2026,40,Katpadi,North,GEN,DR M SUDHAKAR,TVK,TVK,69868,V. RAMU,AIADMK,63998,5870,2.8845634087971814,34.333675680722564,203497
2026,41,Ranipet,North,GEN,THAHIRA,TVK,TVK,91149,R. GANDHI,DMK,85362,5787,2.6181018648377203,41.23680091206037,221038
2026,42,Arcot,North,GEN,S.M.SUKUMAR,AIADMK,AIADMK,105608,G.VIJAY MOHAN,TVK,62888,42720,18.920570805984426,46.77349348498135,225786
2026,43,Vellore,North,GEN,M.M.VINOTH KANNAN,TVK,TVK,73032,P.KARTHIKEYAN,DMK,66255,6777,3.5569761766048904,38.33157505235478,190527
2026,44,Anaikattu,North,GEN,D.VELAZHAGAN,AIADMK,AIADMK,76302,A.P.NANDAKUMAR,DMK,69221,7081,3.273421536811546,35.27307020220231,216318
2026,45,Kilvaithinankuppam,North,SC,THENRAL KUMAR. E,TVK,TVK,74305,JEGAN MOORTHY. M,AIADMK,54050,20255,10.666589429781139,39.13013713057949,189892
2026,46,Gudiyattam,North,SC,K.SINDU,TVK,TVK,82858,K.B.PRADAP,DMDK,72761,10097,4.407707485725262,36.17052855820776,229076
2026,47,Vaniyambadi,North,GEN,SYED FAROOQ BASHA SSB,OTHERS,IUML,73181,SYED BHURHANUDEEN,TVK,70199,2982,1.4030696265068179,34.43260842971007,212534
2026,48,Ambur,North,GEN,VILWANATHAN. A.C.,DMK,DMK,74102,IMTHIYAZ PANDARATTUDU ABDU,TVK,66971,7131,3.6460037630890048,37.887557264397905,195584
2026,49,Jolarpet,North,GEN,VEERAMANI K.C.,AIADMK,AIADMK,78633,MUNISAMY C,TVK,62550,16083,7.549215647618778,36.90962345453009,213042
2026,50,Tiruppattur,North,GEN,DR.THIRUPATHI. N,TVK,TVK,105098,NALLATHAMBI. A,DMK,56835,48263,23.783663915239618,51.791548601700136,202925
2026,51,Uthangarai,North,SC,N ELAIYARAJA,TVK,TVK,70201,T M  TAMILSELVAM,AIADMK,65003,5198,2.529071181822605,34.15608426993626,205530
2026,52,Bargur,North,GEN,E.C. GOVINDARASAN,AIADMK,AIADMK,71240,E. MURALIDHARAN,TVK,66999,4241,1.9821461955505701,33.2959431669471,213960
2026,53,Krishnagiri,North,GEN,MUKUNDHAN.P,TVK,TVK,89374,ASHOKKUMAR.K,AIADMK,70530,18844,8.18660097922939,38.82770515377029,230181
2026,54,Veppanahalli,North,GEN,SRINIVASAN.P.S,DMK,DMK,74691,MUNUSAMY.K.P,AIADMK,74553,138,0.06199238122619133,33.552702508445336,222608
2026,55,Hosur,North,GEN,BALAKRISHNAREDDY. P,AIADMK,AIADMK,109867,VENDARKARASAN.S,TVK,82064,27803,10.009360262087338,39.55322749036973,277770
2026,56,Thalli,North,GEN,RAMACHANDRAN. T,CPI,CPI,78283,DR.NAGESH KUMAR. C,BJP,73043,5240,2.545196669872449,38.02397536405056,205878
2026,57,Palacodu,North,GEN,ANBALAGAN. K.P.,AIADMK,AIADMK,102807,GOPI. R.,TVK,63765,39042,17.332202772832808,45.63986912726353,225257
2026,58,Pennagaram,North,GEN,GAJENDRAN. S.,TVK,TVK,81240,SELVAM. V.,PMK,78075,3165,1.3841148224921938,35.527800372595834,228666
2026,59,Dharmapuri,North,GEN,SOWMIYA ANBUMANI,PMK,PMK,93713,SIVAN. M.,TVK,72817,20896,8.758524430062998,39.27965160387125,238579
2026,60,Pappireddipatti,North,GEN,MARAGATHAM VETRIVEL,AIADMK,AIADMK,101829,PALANIAPPAN. P,DMK,68715,33114,13.994531339145722,43.03464189568973,236621
2026,61,Harur,North,SC,SAMPATHKUMAR. V,AIADMK,AIADMK,75523,SHANMUGAM. A,DMK,72194,3329,1.5128929931558521,34.322083965788345,220042
2026,62,Chengam,North,SC,S.VELU,AIADMK,AIADMK,87802,K BHARATHIDHASAN,TVK,74524,13278,5.466514613189953,36.14783220871398,242897
2026,63,Tiruvannamalai,North,GEN,VELU. E.V,DMK,DMK,88273,ARUL ARUMUGAM,TVK,85818,2455,1.115574418583516,40.112057291903334,220066
